dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1845-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1845-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-01-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-02-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-03-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-04-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-05-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1846-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-01-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-02-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-03-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-04-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-05-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1847-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-01-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-02-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-03-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-04-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-05-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
